onset	duration	response_time	trial_type	block	value	exp_value
20.054	1.70	n/a	Test_1Back	1	n/a	n/a
22.254	1.70	0.720	Test_1Back	1	c	c
24.454	1.70	0.791	Test_1Back	1	c	n
26.654	1.70	1.061	Test_1Back	1	c	c
28.854	1.70	0.711	Test_1Back	1	c	c
31.054	1.70	0.732	Test_1Back	1	n	n
33.254	1.70	1.093	Test_1Back	1	n	n
35.454	1.70	0.941	Test_1Back	1	n	n
37.654	1.70	1.014	Test_1Back	1	n	n
39.854	1.70	0.734	Test_1Back	1	c	c
42.054	1.70	0.817	Test_1Back	1	n	n
44.254	1.70	0.738	Test_1Back	1	c	c
46.454	1.70	0.938	Test_1Back	1	c	c
48.654	1.70	0.838	Test_1Back	1	n	c
50.854	1.70	0.992	Test_1Back	1	n	n
53.054	1.70	0.944	Test_1Back	1	n	n
75.254	1.70	n/a	Test_2Back	2	n/a	n/a
77.454	1.70	n/a	Test_2Back	2	n/a	n/a
79.654	1.70	1.212	Test_2Back	2	c	c
81.854	1.70	0.965	Test_2Back	2	c	c
84.054	1.70	1.090	Test_2Back	2	c	c
86.254	1.70	1.061	Test_2Back	2	n	n
88.454	1.70	0.874	Test_2Back	2	n	n
90.654	1.70	1.104	Test_2Back	2	c	n
92.854	1.70	1.088	Test_2Back	2	c	c
95.054	1.70	0.901	Test_2Back	2	n	n
97.254	1.70	1.123	Test_2Back	2	c	c
99.454	1.70	0.969	Test_2Back	2	n	n
101.654	1.70	1.061	Test_2Back	2	c	c
103.854	1.70	1.082	Test_2Back	2	n	n
106.054	1.70	0.999	Test_2Back	2	c	c
108.254	1.70	1.120	Test_2Back	2	n	c
130.454	1.70	n/a	Test_3Back	3	n/a	n/a
132.654	1.70	n/a	Test_3Back	3	n/a	n/a
134.854	1.70	n/a	Test_3Back	3	n/a	n/a
137.054	1.70	1.157	Test_3Back	3	n	n
139.254	1.70	1.163	Test_3Back	3	n	n
141.454	1.70	1.148	Test_3Back	3	n	n
143.654	1.70	0.872	Test_3Back	3	n	n
145.854	1.70	1.094	Test_3Back	3	c	c
148.054	1.70	1.166	Test_3Back	3	c	c
150.254	1.70	1.027	Test_3Back	3	n	n
152.454	1.70	1.167	Test_3Back	3	c	c
154.654	1.70	1.098	Test_3Back	3	c	c
156.854	1.70	1.110	Test_3Back	3	c	c
159.054	1.70	1.001	Test_3Back	3	c	c
161.254	1.70	1.085	Test_3Back	3	n	n
163.454	1.70	1.203	Test_3Back	3	c	c
185.654	1.70	n/a	Test_1Back	4	n/a	n/a
187.854	1.70	0.920	Test_1Back	4	n	n
190.054	1.70	0.687	Test_1Back	4	c	c
192.254	1.70	1.086	Test_1Back	4	c	n
194.454	1.70	0.775	Test_1Back	4	c	c
196.654	1.70	0.774	Test_1Back	4	n	n
198.854	1.70	0.908	Test_1Back	4	n	n
201.054	1.70	0.971	Test_1Back	4	c	c
203.254	1.70	0.816	Test_1Back	4	n	n
205.454	1.70	0.802	Test_1Back	4	n	n
207.654	1.70	1.050	Test_1Back	4	n	n
209.854	1.70	0.844	Test_1Back	4	c	c
212.054	1.70	0.986	Test_1Back	4	n	n
214.254	1.70	0.877	Test_1Back	4	n	n
216.454	1.70	0.857	Test_1Back	4	c	c
218.654	1.70	0.917	Test_1Back	4	c	c
240.854	1.70	n/a	Test_2Back	5	n/a	n/a
243.054	1.70	n/a	Test_2Back	5	n/a	n/a
245.254	1.70	1.079	Test_2Back	5	c	c
247.454	1.70	1.019	Test_2Back	5	n	n
249.654	1.70	1.122	Test_2Back	5	n	n
251.854	1.70	0.922	Test_2Back	5	c	c
254.054	1.70	1.021	Test_2Back	5	n	n
256.254	1.70	0.950	Test_2Back	5	n	n
258.454	1.70	0.859	Test_2Back	5	c	c
260.654	1.70	0.869	Test_2Back	5	c	c
262.854	1.70	1.087	Test_2Back	5	c	c
265.054	1.70	1.196	Test_2Back	5	n	n
267.254	1.70	1.138	Test_2Back	5	n	c
269.454	1.70	0.999	Test_2Back	5	n	n
271.654	1.70	0.999	Test_2Back	5	c	c
273.854	1.70	1.076	Test_2Back	5	n	n
296.054	1.70	n/a	Test_3Back	6	n/a	n/a
298.254	1.70	n/a	Test_3Back	6	n/a	n/a
300.454	1.70	n/a	Test_3Back	6	n/a	n/a
302.654	1.70	1.109	Test_3Back	6	n	n
304.854	1.70	0.982	Test_3Back	6	c	c
307.054	1.70	1.059	Test_3Back	6	c	c
309.254	1.70	1.159	Test_3Back	6	c	c
311.454	1.70	1.034	Test_3Back	6	c	c
313.654	1.70	1.177	Test_3Back	6	n	n
315.854	1.70	1.120	Test_3Back	6	c	n
318.054	1.70	1.095	Test_3Back	6	n	n
320.254	1.70	0.971	Test_3Back	6	n	n
