onset	duration	response_time	trial_type	block	value	exp_value
23.952	1.70	n/a	Test_1Back	1	n/a	n/a
26.152	1.70	0.962	Test_1Back	1	n	n
28.352	1.70	1.027	Test_1Back	1	n	n
30.552	1.70	0.678	Test_1Back	1	c	c
32.752	1.70	1.004	Test_1Back	1	c	c
34.952	1.70	0.985	Test_1Back	1	n	n
37.152	1.70	1.155	Test_1Back	1	n	n
39.352	1.70	0.859	Test_1Back	1	n	n
41.552	1.70	0.957	Test_1Back	1	c	c
43.752	1.70	0.857	Test_1Back	1	n	n
45.952	1.70	0.835	Test_1Back	1	n	n
48.152	1.70	0.855	Test_1Back	1	n	n
50.352	1.70	0.714	Test_1Back	1	n	c
52.552	1.70	0.836	Test_1Back	1	n	n
54.752	1.70	0.999	Test_1Back	1	n	c
56.952	1.70	0.988	Test_1Back	1	c	c
79.152	1.70	n/a	Test_2Back	2	n/a	n/a
81.352	1.70	n/a	Test_2Back	2	n/a	n/a
83.552	1.70	0.876	Test_2Back	2	c	c
85.752	1.70	0.835	Test_2Back	2	c	c
87.952	1.70	1.059	Test_2Back	2	n	n
90.152	1.70	0.961	Test_2Back	2	n	n
92.352	1.70	1.075	Test_2Back	2	n	n
94.552	1.70	1.153	Test_2Back	2	c	c
96.752	1.70	1.148	Test_2Back	2	c	n
98.952	1.70	0.978	Test_2Back	2	n	n
101.152	1.70	0.913	Test_2Back	2	c	c
103.352	1.70	0.843	Test_2Back	2	c	c
105.552	1.70	1.219	Test_2Back	2	n	n
107.752	1.70	1.013	Test_2Back	2	c	c
109.952	1.70	1.067	Test_2Back	2	c	c
112.152	1.70	1.112	Test_2Back	2	c	n
134.352	1.70	n/a	Test_3Back	3	n/a	n/a
136.552	1.70	n/a	Test_3Back	3	n/a	n/a
138.752	1.70	n/a	Test_3Back	3	n/a	n/a
140.952	1.70	1.267	Test_3Back	3	n	n
143.152	1.70	1.009	Test_3Back	3	c	c
145.352	1.70	1.060	Test_3Back	3	c	n
147.552	1.70	1.019	Test_3Back	3	n	n
149.752	1.70	0.994	Test_3Back	3	c	c
151.952	1.70	0.799	Test_3Back	3	n	n
154.152	1.70	1.197	Test_3Back	3	n	n
156.352	1.70	1.097	Test_3Back	3	n	n
