onset	duration	response_time	trial_type	block	value	exp_value
21.974	1.70	n/a	Test_1Back	1	n/a	n/a
24.174	1.70	0.875	Test_1Back	1	c	c
26.374	1.70	0.907	Test_1Back	1	n	c
28.574	1.70	1.118	Test_1Back	1	n	n
30.774	1.70	1.046	Test_1Back	1	n	n
32.974	1.70	0.828	Test_1Back	1	n	n
35.174	1.70	0.908	Test_1Back	1	c	c
37.374	1.70	0.796	Test_1Back	1	n	n
39.574	1.70	0.968	Test_1Back	1	n	n
41.774	1.70	0.931	Test_1Back	1	c	c
43.974	1.70	0.881	Test_1Back	1	n	n
46.174	1.70	0.913	Test_1Back	1	n	n
48.374	1.70	0.922	Test_1Back	1	n	n
50.574	1.70	0.894	Test_1Back	1	c	n
52.774	1.70	0.942	Test_1Back	1	c	c
54.974	1.70	0.902	Test_1Back	1	c	c
77.174	1.70	n/a	Test_2Back	2	n/a	n/a
79.374	1.70	n/a	Test_2Back	2	n/a	n/a
81.574	1.70	0.942	Test_2Back	2	n	c
83.774	1.70	0.946	Test_2Back	2	c	c
85.974	1.70	1.275	Test_2Back	2	n	n
88.174	1.70	0.836	Test_2Back	2	n	n
90.374	1.70	1.075	Test_2Back	2	n	n
92.574	1.70	0.906	Test_2Back	2	n	n
94.774	1.70	0.956	Test_2Back	2	n	n
96.974	1.70	0.936	Test_2Back	2	c	c
99.174	1.70	0.890	Test_2Back	2	n	n
101.374	1.70	1.069	Test_2Back	2	c	c
103.574	1.70	0.905	Test_2Back	2	n	n
105.774	1.70	0.771	Test_2Back	2	c	c
107.974	1.70	0.972	Test_2Back	2	c	n
110.174	1.70	1.004	Test_2Back	2	n	n
132.374	1.70	n/a	Test_3Back	3	n/a	n/a
134.574	1.70	n/a	Test_3Back	3	n/a	n/a
136.774	1.70	n/a	Test_3Back	3	n/a	n/a
138.974	1.70	1.088	Test_3Back	3	c	c
141.174	1.70	1.127	Test_3Back	3	c	c
143.374	1.70	1.083	Test_3Back	3	c	c
145.574	1.70	1.127	Test_3Back	3	n	n
147.774	1.70	1.081	Test_3Back	3	c	c
149.974	1.70	1.062	Test_3Back	3	c	c
152.174	1.70	1.108	Test_3Back	3	n	n
154.374	1.70	1.115	Test_3Back	3	c	c
156.574	1.70	0.979	Test_3Back	3	c	c
158.774	1.70	1.114	Test_3Back	3	n	c
160.974	1.70	0.992	Test_3Back	3	c	c
163.174	1.70	0.971	Test_3Back	3	n	n
165.374	1.70	1.102	Test_3Back	3	n	n
187.574	1.70	n/a	Test_1Back	4	n/a	n/a
189.774	1.70	0.774	Test_1Back	4	c	c
191.974	1.70	0.747	Test_1Back	4	n	n
194.174	1.70	0.975	Test_1Back	4	n	n
196.374	1.70	0.850	Test_1Back	4	n	n
198.574	1.70	0.972	Test_1Back	4	n	n
200.774	1.70	0.929	Test_1Back	4	c	c
202.974	1.70	0.864	Test_1Back	4	n	n
205.174	1.70	1.023	Test_1Back	4	c	c
207.374	1.70	1.039	Test_1Back	4	n	n
209.574	1.70	1.041	Test_1Back	4	c	c
211.774	1.70	0.906	Test_1Back	4	n	n
213.974	1.70	0.945	Test_1Back	4	c	c
216.174	1.70	0.958	Test_1Back	4	n	n
218.374	1.70	0.877	Test_1Back	4	n	c
220.574	1.70	0.902	Test_1Back	4	n	n
242.774	1.70	n/a	Test_2Back	5	n/a	n/a
244.974	1.70	n/a	Test_2Back	5	n/a	n/a
247.174	1.70	1.087	Test_2Back	5	c	n
249.374	1.70	1.004	Test_2Back	5	n	n
251.574	1.70	1.049	Test_2Back	5	n	n
253.774	1.70	0.998	Test_2Back	5	n	c
255.974	1.70	1.074	Test_2Back	5	n	c
258.174	1.70	1.093	Test_2Back	5	c	c
260.374	1.70	1.146	Test_2Back	5	c	c
