onset	duration	response_time	trial_type	block	value	exp_value
20.151	1.70	n/a	Test_1Back	1	n/a	n/a
22.351	1.70	0.918	Test_1Back	1	c	c
24.551	1.70	0.905	Test_1Back	1	n	n
26.751	1.70	0.991	Test_1Back	1	n	n
28.951	1.70	0.984	Test_1Back	1	n	n
31.151	1.70	0.809	Test_1Back	1	n	n
33.351	1.70	0.892	Test_1Back	1	n	n
35.551	1.70	0.905	Test_1Back	1	n	n
37.751	1.70	0.799	Test_1Back	1	n	n
39.951	1.70	0.893	Test_1Back	1	n	n
42.151	1.70	0.903	Test_1Back	1	n	n
44.351	1.70	1.143	Test_1Back	1	c	c
46.551	1.70	0.995	Test_1Back	1	n	n
48.751	1.70	0.884	Test_1Back	1	c	c
50.951	1.70	0.978	Test_1Back	1	n	n
53.151	1.70	0.810	Test_1Back	1	n	c
75.351	1.70	n/a	Test_2Back	2	n/a	n/a
77.551	1.70	n/a	Test_2Back	2	n/a	n/a
79.751	1.70	1.227	Test_2Back	2	n	n
81.951	1.70	0.871	Test_2Back	2	c	c
84.151	1.70	0.990	Test_2Back	2	c	c
86.351	1.70	1.051	Test_2Back	2	c	c
88.551	1.70	1.005	Test_2Back	2	n	n
90.751	1.70	0.976	Test_2Back	2	c	c
92.951	1.70	1.088	Test_2Back	2	n	n
95.151	1.70	0.973	Test_2Back	2	n	n
97.351	1.70	1.309	Test_2Back	2	n	n
99.551	1.70	0.991	Test_2Back	2	c	n
101.751	1.70	0.929	Test_2Back	2	n	n
103.951	1.70	0.942	Test_2Back	2	c	c
106.151	1.70	0.865	Test_2Back	2	c	c
108.351	1.70	0.947	Test_2Back	2	n	n
130.551	1.70	n/a	Test_3Back	3	n/a	n/a
132.751	1.70	n/a	Test_3Back	3	n/a	n/a
134.951	1.70	n/a	Test_3Back	3	n/a	n/a
137.151	1.70	0.974	Test_3Back	3	c	c
139.351	1.70	1.062	Test_3Back	3	c	c
141.551	1.70	1.197	Test_3Back	3	n	n
143.751	1.70	1.177	Test_3Back	3	n	n
145.951	1.70	1.216	Test_3Back	3	n	c
148.151	1.70	1.121	Test_3Back	3	c	n
150.351	1.70	1.024	Test_3Back	3	c	c
152.551	1.70	1.047	Test_3Back	3	n	n
154.751	1.70	1.007	Test_3Back	3	n	n
156.951	1.70	1.277	Test_3Back	3	c	c
159.151	1.70	1.024	Test_3Back	3	c	c
161.351	1.70	1.133	Test_3Back	3	n	n
163.551	1.70	1.074	Test_3Back	3	n	n
185.751	1.70	n/a	Test_1Back	4	n/a	n/a
187.951	1.70	0.980	Test_1Back	4	c	c
190.151	1.70	0.765	Test_1Back	4	c	c
192.351	1.70	0.774	Test_1Back	4	c	c
194.551	1.70	0.888	Test_1Back	4	c	c
196.751	1.70	0.938	Test_1Back	4	n	n
198.951	1.70	0.799	Test_1Back	4	n	n
201.151	1.70	0.881	Test_1Back	4	c	c
203.351	1.70	0.901	Test_1Back	4	c	c
205.551	1.70	1.084	Test_1Back	4	c	n
207.751	1.70	0.810	Test_1Back	4	n	n
209.951	1.70	0.829	Test_1Back	4	n	c
212.151	1.70	1.016	Test_1Back	4	n	n
214.351	1.70	0.813	Test_1Back	4	n	n
216.551	1.70	0.953	Test_1Back	4	n	n
218.751	1.70	1.070	Test_1Back	4	n	n
