onset	duration	response_time	trial_type	block	value	exp_value
23.612	1.70	n/a	Test_1Back	1	n/a	n/a
25.812	1.70	0.964	Test_1Back	1	c	c
28.012	1.70	1.092	Test_1Back	1	n	n
30.212	1.70	0.754	Test_1Back	1	c	c
32.412	1.70	0.982	Test_1Back	1	n	n
34.612	1.70	0.915	Test_1Back	1	c	c
36.812	1.70	0.901	Test_1Back	1	n	n
39.012	1.70	0.811	Test_1Back	1	c	c
41.212	1.70	0.983	Test_1Back	1	c	c
43.412	1.70	0.788	Test_1Back	1	c	c
45.612	1.70	0.920	Test_1Back	1	c	c
47.812	1.70	0.787	Test_1Back	1	n	n
50.012	1.70	1.160	Test_1Back	1	n	n
52.212	1.70	0.973	Test_1Back	1	c	c
54.412	1.70	1.017	Test_1Back	1	n	c
56.612	1.70	0.751	Test_1Back	1	c	c
78.812	1.70	n/a	Test_2Back	2	n/a	n/a
81.012	1.70	n/a	Test_2Back	2	n/a	n/a
83.212	1.70	1.064	Test_2Back	2	c	c
85.412	1.70	0.945	Test_2Back	2	n	n
87.612	1.70	0.854	Test_2Back	2	c	c
89.812	1.70	0.894	Test_2Back	2	n	n
92.012	1.70	1.111	Test_2Back	2	n	n
94.212	1.70	1.052	Test_2Back	2	n	n
96.412	1.70	0.949	Test_2Back	2	n	n
98.612	1.70	0.944	Test_2Back	2	c	c
100.812	1.70	1.028	Test_2Back	2	n	n
103.012	1.70	1.055	Test_2Back	2	n	n
105.212	1.70	0.934	Test_2Back	2	n	n
107.412	1.70	0.951	Test_2Back	2	n	n
109.612	1.70	0.907	Test_2Back	2	c	n
111.812	1.70	0.719	Test_2Back	2	n	n
134.012	1.70	n/a	Test_3Back	3	n/a	n/a
136.212	1.70	n/a	Test_3Back	3	n/a	n/a
138.412	1.70	n/a	Test_3Back	3	n/a	n/a
140.612	1.70	1.043	Test_3Back	3	n	n
142.812	1.70	0.973	Test_3Back	3	n	n
145.012	1.70	0.995	Test_3Back	3	n	n
147.212	1.70	1.060	Test_3Back	3	c	c
149.412	1.70	1.182	Test_3Back	3	c	c
151.612	1.70	1.196	Test_3Back	3	c	c
153.812	1.70	1.104	Test_3Back	3	n	n
156.012	1.70	1.190	Test_3Back	3	c	c
158.212	1.70	1.071	Test_3Back	3	n	n
160.412	1.70	1.198	Test_3Back	3	n	n
162.612	1.70	1.141	Test_3Back	3	c	c
164.812	1.70	0.901	Test_3Back	3	c	c
167.012	1.70	1.110	Test_3Back	3	c	c
189.212	1.70	n/a	Test_1Back	4	n/a	n/a
191.412	1.70	1.035	Test_1Back	4	c	c
193.612	1.70	0.963	Test_1Back	4	n	n
195.812	1.70	0.935	Test_1Back	4	n	n
198.012	1.70	0.909	Test_1Back	4	c	c
200.212	1.70	0.903	Test_1Back	4	n	n
202.412	1.70	1.022	Test_1Back	4	c	c
204.612	1.70	0.778	Test_1Back	4	c	c
206.812	1.70	0.831	Test_1Back	4	n	n
209.012	1.70	0.928	Test_1Back	4	c	c
211.212	1.70	0.778	Test_1Back	4	c	c
213.412	1.70	0.833	Test_1Back	4	c	c
215.612	1.70	0.932	Test_1Back	4	n	n
217.812	1.70	0.977	Test_1Back	4	n	n
220.012	1.70	0.926	Test_1Back	4	n	n
222.212	1.70	0.895	Test_1Back	4	n	n
244.412	1.70	n/a	Test_2Back	5	n/a	n/a
246.612	1.70	n/a	Test_2Back	5	n/a	n/a
248.812	1.70	0.889	Test_2Back	5	n	n
251.012	1.70	0.970	Test_2Back	5	n	n
253.212	1.70	1.095	Test_2Back	5	n	n
255.412	1.70	1.036	Test_2Back	5	c	c
257.612	1.70	0.992	Test_2Back	5	c	c
259.812	1.70	0.963	Test_2Back	5	c	c
262.012	1.70	0.881	Test_2Back	5	c	c
264.212	1.70	1.134	Test_2Back	5	c	n
266.412	1.70	0.865	Test_2Back	5	n	n
268.612	1.70	0.818	Test_2Back	5	c	c
270.812	1.70	0.956	Test_2Back	5	n	n
273.012	1.70	0.914	Test_2Back	5	c	c
275.212	1.70	0.965	Test_2Back	5	c	c
277.412	1.70	1.001	Test_2Back	5	c	c
299.612	1.70	n/a	Test_3Back	6	n/a	n/a
301.812	1.70	n/a	Test_3Back	6	n/a	n/a
304.012	1.70	n/a	Test_3Back	6	n/a	n/a
306.212	1.70	1.170	Test_3Back	6	c	c
308.412	1.70	1.269	Test_3Back	6	c	c
310.612	1.70	1.187	Test_3Back	6	n	n
312.812	1.70	1.003	Test_3Back	6	c	c
315.012	1.70	1.204	Test_3Back	6	c	c
317.212	1.70	1.070	Test_3Back	6	c	c
319.412	1.70	1.128	Test_3Back	6	n	n
321.612	1.70	1.251	Test_3Back	6	n	n
323.812	1.70	1.118	Test_3Back	6	c	c
326.012	1.70	1.029	Test_3Back	6	n	n
328.212	1.70	1.087	Test_3Back	6	n	n
330.412	1.70	1.162	Test_3Back	6	n	n
332.612	1.70	1.035	Test_3Back	6	c	c
354.812	1.70	n/a	Test_1Back	7	n/a	n/a
357.012	1.70	0.750	Test_1Back	7	n	n
359.212	1.70	0.919	Test_1Back	7	c	c
361.412	1.70	1.115	Test_1Back	7	c	c
363.612	1.70	1.030	Test_1Back	7	c	c
365.812	1.70	0.882	Test_1Back	7	c	c
368.012	1.70	1.009	Test_1Back	7	n	n
370.212	1.70	0.947	Test_1Back	7	n	n
372.412	1.70	0.889	Test_1Back	7	c	c
374.612	1.70	0.834	Test_1Back	7	c	c
376.812	1.70	0.831	Test_1Back	7	n	n
379.012	1.70	0.757	Test_1Back	7	c	c
381.212	1.70	0.799	Test_1Back	7	c	c
383.412	1.70	0.924	Test_1Back	7	n	n
385.612	1.70	0.842	Test_1Back	7	n	n
387.812	1.70	1.066	Test_1Back	7	n	n
410.012	1.70	n/a	Test_2Back	8	n/a	n/a
412.212	1.70	n/a	Test_2Back	8	n/a	n/a
414.412	1.70	1.014	Test_2Back	8	c	c
416.612	1.70	0.888	Test_2Back	8	n	n
418.812	1.70	1.057	Test_2Back	8	n	n
421.012	1.70	0.901	Test_2Back	8	c	c
423.212	1.70	1.059	Test_2Back	8	n	n
425.412	1.70	0.991	Test_2Back	8	c	c
427.612	1.70	1.065	Test_2Back	8	c	c
429.812	1.70	0.935	Test_2Back	8	n	c
432.012	1.70	1.001	Test_2Back	8	c	n
434.212	1.70	0.926	Test_2Back	8	c	c
436.412	1.70	1.068	Test_2Back	8	n	n
438.612	1.70	1.083	Test_2Back	8	n	n
440.812	1.70	0.999	Test_2Back	8	n	n
443.012	1.70	1.057	Test_2Back	8	c	c
465.212	1.70	n/a	Test_3Back	9	n/a	n/a
467.412	1.70	n/a	Test_3Back	9	n/a	n/a
469.612	1.70	n/a	Test_3Back	9	n/a	n/a
471.812	1.70	1.041	Test_3Back	9	c	c
474.012	1.70	1.034	Test_3Back	9	c	n
476.212	1.70	1.200	Test_3Back	9	n	n
478.412	1.70	1.114	Test_3Back	9	c	c
480.612	1.70	0.943	Test_3Back	9	n	n
482.812	1.70	1.050	Test_3Back	9	n	n
485.012	1.70	1.250	Test_3Back	9	c	c
487.212	1.70	1.136	Test_3Back	9	n	n
489.412	1.70	1.063	Test_3Back	9	n	n
491.612	1.70	1.122	Test_3Back	9	n	n
493.812	1.70	1.119	Test_3Back	9	c	c
496.012	1.70	1.122	Test_3Back	9	c	c
498.212	1.70	1.043	Test_3Back	9	c	c
520.412	1.70	n/a	Test_1Back	10	n/a	n/a
522.612	1.70	0.893	Test_1Back	10	c	c
524.812	1.70	0.957	Test_1Back	10	c	c
